Fund Name,Filename,Category,Start Date,End Date,Years,CAGR,CAGR_3Y,CAGR_5Y,CAGR_10Y,Abs_1Y,% Away from ATH,Mean Annual Return,Best 1y Return,Rolling 1y Mean,Rolling 2y Mean,Rolling 3y Mean,Rolling 4y Mean,Rolling 5y Mean,Rolling 1y Median,Rolling 3y Median,Skewness,Kurtosis,Positive Month %,Annual Volatility,Downside Deviation,Ulcer Index,Autocorrelation,Max Drawdown,Avg Drawdown,Worst Month,Worst Year,Negative Month %,VaR 95%,CVaR 95%,Recovery Ratio,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Sterling Ratio,Pain Index,Alpha,Beta,Upside Capture,Downside Capture,Roll 3Y 5th %,Roll 3Y 25th %,Roll 3Y Median,Roll 3Y 75th %,Roll 3Y 95th %,Vol_vs_Cat,Sharpe_vs_Cat,Sortino_vs_Cat,Alpha_vs_Cat,bad_days_pct,peer_outperformance_pct,Live_5Y,Deviation,Status
SBI PSU Fund - DIRECT PLAN - GROWTH,SBI_PSU_Fund___DIRECT_PLAN___GROWTH_119732,Uncategorized,2013-01-03,2026-01-09,13.02,0.1208973256827861,0.2921694526372713,0.2950845965144866,0.1528733219802054,0.1424531073999704,-0.0255311038762686,0.1293651578231606,1.1234280178922478,0.1652372886129698,0.148930444087775,0.1327325266937515,0.1236191279014786,0.1105297358881105,0.1217303380665582,0.0931058558132229,-0.9331201185709208,8.531287764129555,0.5414012738853503,0.1947563531531004,0.1425892335249931,0.1626499508593311,0.0275936438851877,-0.4705607169223797,-0.132549152706947,-0.2031193544501986,-0.2287137406891539,0.4522292993630573,-0.0191279724927041,-0.029506634337223,0.2569218409762165,0.3126846682886588,0.4270822149563767,0.2569218409762165,0.5198785902915676,0.1245891800392351,0.0060338611562598,0.9474512406609626,106.6418599474976,108.79542399509369,-0.1112376331470648,0.0374833304397255,0.0931058558132229,0.2731087776801342,0.3842725362807202,0.0065058189664796,0.03731078105479,-0.0589834693289378,-0.0248924584892212,45.46587722031786,46.15384615384615,29.06,-0.45,✅ Verifed
SBI PSU Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option IDCW,SBI_PSU_Fund___Direct_Plan___Income_Distribution_cum_Capital_Withdrawal_Option__IDCW__119733,Uncategorized,2010-07-12,2026-01-09,15.5,0.0881160183773324,0.2921369867125831,0.2950742079445352,0.1527749585976461,0.14244988918759,-0.0255165940223346,0.0991992116640239,1.123251089859174,0.1182307257083301,0.1127049771266847,0.1042383955402885,0.0996941532108789,0.0905414598114435,0.0425567132452868,0.0743729515412707,-0.8710560083102684,8.498294318201351,0.5240641711229946,0.1871734773202403,0.1369194740457747,0.2022999800679225,0.0389357609150322,-0.4707199625309193,-0.1722297174038389,-0.2031179326357688,-0.2712355212355212,0.4705882352941176,-0.0183887719926577,-0.0280078369247562,0.1871941395974777,0.1502136882846277,0.2053471105792642,0.1871941395974777,0.3236825840237595,0.1637140329833771,-0.0090841018124672,0.8923728064977793,99.64502014822928,107.35822452981144,-0.1221080697242146,0.0164377821707379,0.0743729515412707,0.1708280661334267,0.3799389838515797,-0.0010770568663804,-0.125160198949241,-0.2807185737060503,-0.0400104214579483,34880.0,43.01075268817204,29.06,-0.45,✅ Verifed
ICICI Prudential Infrastructure Fund - Direct Plan - Growth,ICICI_Prudential_Infrastructure_Fund___Direct_Plan____Growth_120621,Equity - Sectoral / Thematic,2006-04-03,2026-01-09,19.77,0.1423222391963232,0.2495664112394875,0.294822991916509,0.1858665913554662,0.0737313129258618,-0.0416628846328401,0.1498820771894286,1.1174402250351618,0.1819313618587408,0.1468806288292631,0.1376642467541339,0.1313187840910598,0.1236843759379235,0.1108289081970754,0.127050187814079,-0.5046747102940325,8.63122774447509,0.592436974789916,0.2061739129589979,0.1482410480344846,0.200851931838851,0.0783172864498764,-0.614586178639716,-0.1604672731017127,-0.2762686881448727,-0.5163911459792658,0.3949579831932773,-0.0200606484721249,-0.0317241097966581,0.2315740967545508,0.3992854285725992,0.5553268833958392,0.2315740967545508,0.546411215127001,0.1464419358596831,0.036071931755626,0.9135992669505534,111.63749778010892,100.30699548871304,-0.0695925554202949,0.0478697234134574,0.127050187814079,0.2117190618443579,0.3886079025458477,0.037221633670743,0.0232833484962018,0.0232198048919302,0.0140973508233137,,50.210970464135016,28.72,-0.77,⚠️ Moderate
Aditya Birla Sun Life PSU Equity Fund Direct Plan Growth,Aditya_Birla_Sun_Life_PSU_Equity_Fund_Direct_Plan_Growth_147844,Equity - Sectoral / Thematic,2020-01-01,2026-01-09,6.02,0.2465440907188263,0.2720513132097384,0.2903905602377197,,0.1350703803533992,-0.064659427443238,0.2357881553777091,1.0849843587069867,0.3439410927454331,0.3447406222430049,0.3388186063086142,0.3447731798375102,0.3145870474785558,0.2982261640798227,0.3327989311384818,-1.4615670743409317,12.817981523780908,0.589041095890411,0.2126952494062302,0.1579834081703246,0.1015393319442974,-0.0219804368426959,-0.3376110562685094,-0.0842037814106531,-0.17152466367713,-0.004988185875558,0.3972602739726027,-0.0202839756592291,-0.0336171887764552,0.7302607131525468,0.8770486940333238,1.1807827978853953,0.7302607131525468,1.3384312136849967,0.0734976426426107,0.1081484463227252,0.892157991999067,126.70806770308936,88.00560817626749,0.2403179499143629,0.2941247573018872,0.3327989311384818,0.3847790355948777,0.4334572452737306,0.0437429701179753,0.5010466139569264,0.6486757193814863,0.0861738653904129,41.156691324815064,45.83333333333333,N/A,0,Not Found
quant Small Cap Fund - Growth Option - Direct Plan,quant_Small_Cap_Fund___Growth_Option___Direct_Plan_120828,Equity - Small Cap,2013-01-07,2026-01-09,13.0,0.1718355728476841,0.200477603783914,0.2868108852611679,0.196419349862486,-0.0374051305499099,-0.1249763064562908,0.17234236965524,2.120790492952692,0.2287231739358846,0.2158524480422064,0.20464452494531,0.2017854165271091,0.2025852961724385,0.085441318905874,0.1127568236189864,5.019941389661774,353.8655911414178,0.732484076433121,0.1976815006470128,0.1325502669998697,0.150009019417093,-0.1624377366938525,-0.5159536556942357,-0.1267296861601105,-0.2670297392637307,-0.2323779113448535,0.2611464968152866,-0.0138153677688157,-0.026612894443539,0.3330445883099184,0.5657361588294585,0.8437219733989221,0.3330445883099184,0.7578874022096002,0.1053405520894939,0.0813716709870351,0.5467483836620703,81.69000436441432,32.74021933862686,-0.0647931477531353,0.0636450337617315,0.1127568236189864,0.3564042876631645,0.5327599915591575,0.0191850988324728,-0.0113800716159662,0.0674937080197807,0.0317832893423484,38.24539494224165,46.794871794871796,28.36,-0.32,✅ Verifed
ICICI Prudential Infrastructure Fund - Growth,ICICI_Prudential_Infrastructure_Fund___Growth_103149,Equity - Sectoral / Thematic,2006-04-03,2026-01-09,19.77,0.1374294296750375,0.2410786319670228,0.2867302081662068,0.1780691647127465,0.0661756623062548,-0.0431608543382824,0.1457337604421499,1.1074604743083007,0.1769299147856011,0.1419053676676778,0.1327090812425895,0.126327064945275,0.11862318236291,0.1058287698238851,0.122348557129215,-0.5046438609325684,8.634652579270442,0.5882352941176471,0.2061671260196239,0.1483524748283383,0.2027278791794249,0.0783019459856846,-0.614586178639716,-0.1627877400844574,-0.276487502764875,-0.5163911459792658,0.407563025210084,-0.0200117716303708,-0.0317419635557635,0.2236129520179166,0.3755663241270943,0.5219288034435068,0.2236129520179166,0.5229674323119833,0.1487804229143995,0.0316660802638867,0.9136323711122826,110.81993628213353,101.20696979096417,-0.073714643906327,0.0423008615255726,0.122348557129215,0.2063988741192982,0.3808638525217709,0.0372148467313689,-0.000435755949303,-0.0101782750604022,0.0096914993315744,43.87838948233361,49.789029535864984,27.91,-0.76,⚠️ Moderate
quant Small Cap Fund - IDCW Option - Direct Plan,quant_Small_Cap_Fund___IDCW_Option___Direct_Plan_120827,Equity - Small Cap,2006-04-03,2026-01-09,19.77,0.1410424457811483,0.2004950123715587,0.2866279732387407,0.1870394248530471,-0.0374128187387315,-0.1249884185353516,0.2029746938771107,2.1482488615142685,0.1784818338861597,0.1638189045433349,0.1542492749305924,0.1501040094448362,0.1459429445892001,0.0610900460754756,0.0914706581252108,51.85272673590049,3539.6633661383685,0.6764705882352942,0.4896742734238835,0.1741263637243747,0.085293294634361,-0.2683085351097539,-0.6689084380999902,-0.0584461273562582,-0.2671301888281245,-0.2314161966156326,0.3193277310924369,-0.010913432468717,-0.0236690812006817,0.2108546368196134,0.1655027641425516,0.4654231791656243,0.2108546368196134,0.8901602591019561,0.0499397239367717,0.1348102573089568,0.2865211292073893,55.130964651433565,15.851273879239072,-0.0535755355166755,0.0528048042145851,0.0914706581252108,0.242492087744482,0.4977113330025285,0.3111778716093435,-0.4116134663028731,-0.310805086213517,0.08522187566427,,45.9915611814346,28.34,-0.32,✅ Verifed
SBI PSU Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option IDCW,SBI_PSU_Fund___Regular_Plan___Income_Distribution_cum_Capital_Withdrawal_Option__IDCW__112923,Uncategorized,2010-07-12,2026-01-09,15.5,0.0811314846423705,0.2781589662090293,0.2812450871158967,0.1429352005608575,0.1307513602124044,-0.0402806586258992,0.0929760891283775,1.1004187691986975,0.110849112903319,0.1052479274119483,0.0968393479581531,0.0924029391621131,0.0833739634874665,0.0352201682322119,0.0692936213265953,-0.8745237210894834,8.5050050714649,0.5240641711229946,0.1871536210522778,0.137153662517701,0.2078011376819649,0.0392552860250916,-0.4806938543474358,-0.1782082768563639,-0.203502308006322,-0.2712355212355212,0.4705882352941176,-0.018418201516793,-0.0280384286260512,0.1687799498758108,0.11290983590677,0.1540716030069069,0.1687799498758108,0.2916213908483314,0.1697053850310789,-0.0156777576789625,0.8923250878053327,98.10530762909696,108.77367258517556,-0.1257327643659777,0.0119604993720838,0.0692936213265953,0.1621696735823088,0.3654124384021833,-0.0010969131343429,-0.1624640513270986,-0.3319940812784077,-0.0466040773244435,45.736027289425344,44.086021505376344,29.06,0.93,⚠️ Moderate
SBI PSU Fund - REGULAR PLAN Growth,SBI_PSU_Fund___REGULAR_PLAN__Growth_113099,Uncategorized,2010-07-12,2026-01-09,15.5,0.0811395509450274,0.2781554694271493,0.2812432850692412,0.1429316680903858,0.1307532187186799,-0.0402734589484406,0.0929807102157403,1.1003457662031928,0.1108531181456993,0.1052489048284867,0.0968392195184042,0.0924029897824082,0.0833740041868246,0.0352191303494306,0.0692809614820091,-0.8741686770323507,8.510435890202851,0.5240641711229946,0.1871401826700428,0.1371320934204596,0.207751573568042,0.0394702655684,-0.4806806282722513,-0.1781592527043836,-0.2034998116130112,-0.2712355212355212,0.4705882352941176,-0.0183404558404558,-0.0280446325959189,0.1688013749101431,0.1129610468655989,0.154154657875831,0.1688013749101431,0.2917017864987554,0.1696586999795514,-0.015577689953771,0.8919896658339967,98.13132599660402,108.767409378386,-0.1257262830051768,0.0119753002581521,0.0692809614820091,0.1621724782360885,0.365397380491216,-0.0011103515165779,-0.1624128403682698,-0.3319110264094835,-0.046504009599252,45.70978745736027,44.086021505376344,29.06,0.93,⚠️ Moderate
ICICI Prudential MidCap Fund - Direct Plan - Growth,ICICI_Prudential_MidCap_Fund___Direct_Plan____Growth_120381,Equity - Mid Cap,2006-04-03,2025-10-31,19.58,0.1428608517414322,0.2327463119043549,0.2809036972499688,0.1727273696547571,0.098608072545103,-0.007732180188436,0.147252987191444,1.5260625501202885,0.1976959560985927,0.1551157414275856,0.1490559582101313,0.151879219458087,0.1500281244763112,0.106771635554311,0.1594622325431057,-0.7362607911523403,11.509171849954203,0.6297872340425532,0.1905505376023038,0.1405487078919964,0.246516100956794,0.1418534489399357,-0.7506291946308725,-0.1891843126427535,-0.3515981735159817,-0.6780138768430182,0.3659574468085106,-0.0184794616852465,-0.030485447450708,0.1903214699924976,0.4348497400430868,0.5895525685309471,0.1903214699924976,0.4940131448897669,0.1724872236012894,0.0402301861823347,0.7722682168516489,107.13498578634284,93.00655033327284,-0.0526128123648197,0.0451376404054072,0.1594622325431057,0.2438879785141835,0.3412339523234933,0.0153568589161904,-0.0328092791474627,-0.0490232349869055,0.0148777375940369,,53.84615384615385,22.00,-6.09,⚠️ High Deviation
